投稿日時,曜日,メディアタイプ,フォロワー数,Imp数（全体）,Imp数（ハッシュタグ）,リーチ数,いいね数,いいね率,保存数,保存率,エンゲージメント率,使用ハッシュタグ数,人気投稿掲載数,ハッシュタグ,人気投稿掲載タグ
2023/02/18 12:00,Sat,カルーセル(3),10228,9823,1165,8574,179,1.75%,83,0.81%,0.0239532,30,6,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #umedafoodhall #ウメダフードホール #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田ディナー #梅田テイクアウト #梅田ピザ #大阪 #大阪グルメ #大阪ランチ #大阪ディナー #大阪テイクアウト #大阪イタリアン #大阪ピザ #大阪グルメ情報 #食レポ #クワトロフォルマッジ #ペスカ #阪急三番街_洋食 #阪急三番街_パスタピザ ,#hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街ディナー #阪急三番街 #阪急三番街テイクアウト 
2023/02/19 12:01,Sun,カルーセル(3),10228,5159,486,4332,137,1.34%,16,0.16%,0.0139586,29,4,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街ランチ #阪急三番街ディナー #大阪梅田 #梅田 #梅田グルメ #梅田ランチ #梅田ディナー #梅田蕎麦 #大阪 #大阪グルメ #大阪ランチ #大阪ディナー #大阪蕎麦 #大阪お蕎麦 #大阪グルメ巡り #大阪グルメ情報 #食レポ #田毎そば #風流田毎そば #お蕎麦 #牡蠣丼 #阪急三番街_和食 #阪急三番街_丼カレー #阪急三番街_うどん蕎麦 ,#hankyusanbangai #イロドリ三番街 #阪急三番街ディナー #阪急三番街 
2023/02/25 12:00,Sat,画像,10228,5559,378,5492,122,1.19%,13,0.13%,0.0123074,27,3,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田テイクアウト #大阪 #大阪グルメ #大阪スイーツ #大阪テイクアウト #大阪グルメ情報 #大阪グルメ巡り #ホワイトデー #久世福商店 #キャンディー #苺ミルク飴 #スイーツ好きな人と繋がりたい #foofstagram #ホワイトデーギフト #グルメ好きと繋がりたい #スイーツ好き ,#阪急三番街スイーツ #阪急三番街テイクアウト #イロドリ三番街 
2023/02/25 18:00,Sat,画像,10228,3825,146,3493,86,0.84%,3,0.03%,0.00811304,26,4,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田テイクアウト #大阪 #大阪グルメ #大阪スイーツ #大阪テイクアウト #大阪グルメ情報 #大阪グルメ巡り #ホワイトデー #ステラおばさんのクッキー #クッキー #スイーツ好きな人と繋がりたい #foofstagram #ホワイトデーギフト #グルメ好きと繋がりたい #スイーツ好き ,#阪急三番街スイーツ #foofstagram #阪急三番街テイクアウト #イロドリ三番街 
2023/02/26 12:00,Sun,画像,10228,3966,263,3702,83,0.81%,0,0.00%,0.00756402,27,5,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田テイクアウト #大阪 #大阪グルメ #大阪スイーツ #大阪テイクアウト #大阪グルメ情報 #大阪グルメ巡り #ホワイトデー #ムジコム #無印良品 #不揃いバウム #スイーツ好きな人と繋がりたい #foofstagram #ホワイトデーギフト #グルメ好きと繋がりたい #スイーツ好き ,#阪急三番街スイーツ #foofstagram #hankyusanbangai #阪急三番街テイクアウト #イロドリ三番街 
2023/02/26 18:00,Sun,画像,10228,4400,917,4165,93,0.91%,2,0.02%,0.00865682,28,6,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田テイクアウト #大阪 #大阪グルメ #大阪スイーツ #大阪テイクアウト #大阪グルメ情報 #大阪グルメ巡り #ホワイトデー #宇治園喫茶去 #宇治園 #喫茶去 #金平糖 #スイーツ好きな人と繋がりたい #foofstagram #ホワイトデーギフト #グルメ好きと繋がりたい #スイーツ好き ,#阪急三番街スイーツ #foofstagram #hankyusanbangai #阪急三番街テイクアウト #イロドリ三番街 #宇治園 
2023/02/27 08:00,Mon,画像,10228,3145,131,2884,100,0.98%,2,0.02%,0.00929724,26,1,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田テイクアウト #大阪 #大阪グルメ #大阪スイーツ #大阪テイクアウト #大阪グルメ情報 #大阪グルメ巡り #ホワイトデー #サロンドロワイヤル #マカロン #スイーツ好きな人と繋がりたい #foofstagram #ホワイトデーギフト #グルメ好きと繋がりたい #スイーツ好き ,#イロドリ三番街 
2023/02/27 12:00,Mon,画像,10228,3316,175,3154,102,1.00%,2,0.02%,0.00947954,28,3,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田テイクアウト #大阪 #大阪グルメ #大阪スイーツ #大阪テイクアウト #大阪グルメ情報 #大阪グルメ巡り #ホワイトデー #グランマーブル #マーブルデニッシュ #フォンダンショコラ #ベリースイーツ #スイーツ好きな人と繋がりたい #foofstagram #ホワイトデーギフト #グルメ好きと繋がりたい #スイーツ好き ,#イロドリ三番街 #グランマーブル #阪急三番街テイクアウト 
2023/02/28 08:00,Tue,画像,10228,3725,207,3418,94,0.92%,1,0.01%,0.00865761,27,1,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街テイクアウト #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田テイクアウト #大阪 #大阪グルメ #大阪スイーツ #大阪テイクアウト #大阪グルメ情報 #大阪グルメ巡り #ホワイトデー #ゴディバ #godiva #クッキー #スイーツ好きな人と繋がりたい #foofstagram #ホワイトデーギフト #グルメ好きと繋がりたい #スイーツ好き ,#阪急三番街テイクアウト 
2023/04/12 08:00,Wed,カルーセル(3),10228,12437,2068,10775,361,3.53%,90,0.88%,0.0410971,30,2,#阪急三番街 #hankyusanbangai #三番街 #イロドリ三番街 #阪急三番街グルメ #阪急三番街スイーツ #阪急三番街カフェ #大阪梅田 #梅田 #梅田グルメ #梅田スイーツ #梅田カフェ #梅田クレープ #大阪 #大阪グルメ #大阪スイーツ #大阪カフェ #大阪グルメ情報 #ディッパーダン #クレープ #食レポ #スイーツ好き #苺スイーツ #苺クレープ #甘いもの #カフェ活 #甘党 #食後のデザート #スイーツ #阪急三番街_カフェスイーツ ,#イロドリ三番街 #hankyusanbangai 
